locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old)
1589651,Plaza Garibaldy,Truck,3529000,CALIFORNIA ST: LEIDESDORFF ST to MONTGOMERY ST (449 - 499),475 CALIFORNIA ST,0260010,0260,010,22MFF-00002,APPROVED,Tacos: burritos: quesadillas,6012002.812,2116560.078,37.792346385148,-122.40238532279395,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00002&ExportPDF=1&Filename=22MFF-00002_schedule.pdf,,,01/13/2022 12:00:00 AM,20220113,0,11/15/2022 12:00:00 AM,"(37.792346385148, -122.40238532279395)",4,1,10,28854,6
1589653,Plaza Garibaldy,Truck,9297000,MONTGOMERY ST: POST ST to SUTTER ST (1 - 99),1 MONTGOMERY ST,0292002,0292,002,22MFF-00003,APPROVED,Tacos: burritos: quesadillas,6011970.278,2115432.874,37.78924953407508,-122.40241859729358,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00003&ExportPDF=1&Filename=22MFF-00003_schedule.pdf,,,01/13/2022 12:00:00 AM,20220113,0,11/15/2022 12:00:00 AM,"(37.78924953407508, -122.40241859729358)",4,1,10,28854,6
1589660,Zuri Food Facilities,Truck,8722000,MARIPOSA ST: ARKANSAS ST to CAROLINA ST (1500 - 1699),1601 MARIPOSA ST,4006005,4006,005,22MFF-00006,APPROVED,Peruvian Food Served Hot,,,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00006&ExportPDF=1&Filename=22MFF-00006_schedule.pdf,,,01/13/2022 12:00:00 AM,20220113,0,11/15/2022 12:00:00 AM,"(0.0, 0.0)",,,,,
1589646,Philz Coffee Truck,Truck,10455000,PINE ST: BATTERY ST to SANSOME ST (200 - 299),250 PINE ST,0261007,0261,007,22MFF-00001,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries,6012487.324,2116531.736,37.79229559981873,-122.40070689723306,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00001&ExportPDF=1&Filename=22MFF-00001_schedule.pdf,,,01/13/2022 12:00:00 AM,20220113,0,11/15/2022 12:00:00 AM,"(37.79229559981873, -122.40070689723306)",4,1,10,28854,6
1589652,Plaza Garibaldy,Truck,7033000,HOWARD ST: 01ST ST to MALDEN ALY (500 - 589),540 HOWARD ST,3721015,3721,015,22MFF-00003,APPROVED,Tacos: burritos: quesadillas,6013457.851,2114931.191,37.78795495968584,-122.39723654373122,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00003&ExportPDF=1&Filename=22MFF-00003_schedule.pdf,,,01/13/2022 12:00:00 AM,20220113,0,11/15/2022 12:00:00 AM,"(37.78795495968584, -122.39723654373122)",12,2,9,28855,6
1589649,Philz Coffee Truck,Truck,8701000,MARINA BLVD: LAGUNA ST to BEACH ST \ BUCHANAN ST \ LOWER FORT MASON ST (1 - 99),15 MARINA BLVD,0446002,0446,002,22MFF-00001,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries,6003247.31181,2121194.21345,37.80457786909011,-122.43301077434302,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00001&ExportPDF=1&Filename=22MFF-00001_schedule.pdf,,,01/13/2022 12:00:00 AM,20220113,0,11/15/2022 12:00:00 AM,"(37.80457786909011, -122.43301077434302)",13,9,1,57,17
1587539,Brazuca Grill,Truck,11826000,SHIPLEY ST: 04TH ST to 05TH ST (100 - 199),133 SHIPLEY ST,3752107,3752,107,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6012249.052,2112322.269,37.78072409776966,-122.40123539265836,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.78072409776966, -122.40123539265836)",6,2,9,28856,34
1587556,Brazuca Grill,Truck,2477000,CESAR CHAVEZ ST: EVANS AVE to KANSAS ST (2100 - 2550),2150 CESAR CHAVEZ ST,4324002,4324,002,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6013011.36,2101203.484,37.75023688477907,-122.39781803171861,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.75023688477907, -122.39781803171861)",10,3,8,28856,1
1587551,Brazuca Grill,Truck,196000,03RD ST: CESAR CHAVEZ ST to MARIN ST (3100 - 3199),3150 03RD ST,4355006,4355,006,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015847.697,2100856.956,37.74944293760035,-122.38798553250403,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.74944293760035, -122.38798553250403)",10,3,8,58,1
1587546,Brazuca Grill,Truck,1500000,26TH ST: MINNESOTA ST to INDIANA ST (1000 - 1099),1051 26TH ST,4317015,4317,015,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015309.355,2101533.012,37.75126940587811,-122.38989436694435,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.75126940587811, -122.38989436694435)",10,3,8,28856,1
1587559,Brazuca Grill,Truck,4907000,DONNER AVE: HAWES ST to INGALLS ST (1300 - 1399),1347 DONNER AVE,4909025,4909,025,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015246.528,2090674.566,37.72145083973351,-122.38935344507568,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.72145083973351, -122.38935344507568)",10,3,8,58,1
1587569,Brazuca Grill,Truck,8754101,MARKET ST: 10TH ST \ FELL ST \ POLK ST to 11TH ST (1401 - 1455) -- SOUTH --,1411 MARKET ST,3507041,3507,041,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6007585.376,2110633.378,37.7758255197583,-122.41724962664345,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.7758255197583, -122.41724962664345)",8,2,9,28853,34
1587538,Brazuca Grill,Truck,1165000,22ND ST: MISSISSIPPI ST to TEXAS ST (1255 - 1399),1255 22ND ST,4167009,4167,009,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6014146.75,2103649.223,37.75701552445967,-122.39406294711628,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.75701552445967, -122.39406294711628)",10,3,8,28856,29
1587564,Brazuca Grill,Truck,7195000,INDIANA ST: 20TH ST to 22ND ST (800 - 999),998 INDIANA ST,4105011,4105,011,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6014845.363,2104007.25,37.758037393488074,-122.3916718906821,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.758037393488074, -122.3916718906821)",10,3,8,28856,29
1576225,Natan's Catering,Truck,2468000,CESAR CHAVEZ ST: 03RD ST to TENNESSEE ST (1000 - 1099),Assessors Block 4315/Lot03008,431503008,4315,03008,21MFF-00118,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,,,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,,,12/16/2021 12:00:00 AM,20211202,1,11/15/2022 12:00:00 AM,"(0.0, 0.0)",,,,,
1576228,Natan's Catering,Truck,4345000,CONNECTICUT ST: 17TH ST to MARIPOSA ST (100 - 199),146 CONNECTICUT ST,3983037,3983,037,21MFF-00118,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6013067.343,2106377.709,37.764447295561894,-122.397987371508,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,,,12/16/2021 12:00:00 AM,20211202,1,11/15/2022 12:00:00 AM,"(37.764447295561894, -122.397987371508)",14,3,8,28856,29
1576214,Natan's Catering,Truck,0,,Assessors Block 4103/Lot023A,4103023A,4103,023A,21MFF-00118,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6014314.885,2104114.856,37.758303395642486,-122.39351405481675,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,,,12/16/2021 12:00:00 AM,20211202,1,11/15/2022 12:00:00 AM,"(37.758303395642486, -122.39351405481675)",10,3,8,28856,29
1587562,Brazuca Grill,Truck,5687000,FOLSOM ST: ERIE ST to 14TH ST (1718 - 1799),1750 FOLSOM ST,3530006,3530,006,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6007900.307,2108105.953,37.76890352056648,-122.41598117460148,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.76890352056648, -122.41598117460148)",8,4,7,28853,19
1587571,Brazuca Grill,Truck,9582003,NEWHALL ST: BITTING AVE to EGBERT AVE (2660 - 2899),2660 NEWHALL ST,5434B004,5434B,004,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6012315.623,2092832.142,37.727212173900384,-122.39963625164356,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.727212173900384, -122.39963625164356)",10,3,8,58,1
1576218,Natan's Catering,Truck,1400001,25TH ST: MARYLAND ST to MICHIGAN ST (400 - 699),Assessors Block 4241/Lot002,4241002,4241,002,21MFF-00118,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016991.219,2102253.193,37.75334000118106,-122.38412838423727,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,,,12/16/2021 12:00:00 AM,20211202,1,11/15/2022 12:00:00 AM,"(37.75334000118106, -122.38412838423727)",10,3,8,28856,29
1587547,Brazuca Grill,Truck,1500000,26TH ST: MINNESOTA ST to INDIANA ST (1000 - 1099),1090 26TH ST,4293015,4293,015,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015191.855,2101658.85,37.751608413578936,-122.39030948950146,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.751608413578936, -122.39030948950146)",10,3,8,28856,1
1587576,Eva's Catering,Truck,10006000,ORTEGA ST: 18TH AVE to 19TH AVE (1100 - 1199),1199 ORTEGA ST,1404045,1404,045,21MFF-00155,APPROVED,Cold Truck: Burrito: Corn Dog: Salads: Sandwiches: Quesadilla: Tacos: Fried Rice: Cow Mein: Chinese Rice: Noodle Plates: Soup: Bacon: Eggs: Ham: Avacado: Sausages: Beverages,5986602.689,2113869.846,37.78350912221273,-122.49007120809986,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00155&ExportPDF=1&Filename=21MFF-00155_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.78350912221273, -122.49007120809986)",11,6,2,55,26
1587565,Brazuca Grill,Truck,7195000,INDIANA ST: 20TH ST to 22ND ST (800 - 999),951 INDIANA ST,4106024,4106,024,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015057.091,2104275.668,37.758786162305626,-122.39095839869275,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.758786162305626, -122.39095839869275)",10,3,8,28856,29
1587557,Brazuca Grill,Truck,3736000,CARROLL AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1420 CARROLL AVE,4879023,4879,023,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015058.106,2091452.65,37.7235768564887,-122.39005910139933,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.7235768564887, -122.39005910139933)",10,3,8,58,1
1587544,Brazuca Grill,Truck,12484000,TENNESSEE ST: 19TH ST to 20TH ST (800 - 899),815 TENNESSEE ST,4059001B,4059,001B,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015563.023,2105254.616,37.76150220396644,-122.38927699608101,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.76150220396644, -122.38927699608101)",10,3,8,28856,29
1587553,Brazuca Grill,Truck,197101,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,3255 03RD ST,4377001,4377,001,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6016160.221,2100487.333,37.748445338837655,-122.38687903197963,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.748445338837655, -122.38687903197963)",10,3,8,58,1
1587577,Eva's Catering,Truck,1009000,20TH AVE: LAWTON ST to MORAGA ST (1600 - 1699),1650 20TH AVE,3602 103,3602,103,21MFF-00155,APPROVED,Cold Truck: Burrito: Corn Dog: Salads: Sandwiches: Quesadilla: Tacos: Fried Rice: Cow Mein: Chinese Rice: Noodle Plates: Soup: Bacon: Eggs: Ham: Avacado: Sausages: Beverages,6002765.39824,2104234.78252,37.75798419052856,-122.43346578040662,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00155&ExportPDF=1&Filename=21MFF-00155_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.75798419052856, -122.43346578040662)",2,4,5,28862,3
1587563,Brazuca Grill,Truck,5762000,FRANCISCO ST: MASON ST to TAYLOR ST (500 - 599),500 FRANCISCO ST,0042022,0042,022,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6008645.39687,2121255.00971,37.805049509058854,-122.41433443693992,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.805049509058854, -122.41433443693992)",3,1,10,308,23
1587536,Brazuca Grill,Truck,10336000,PENNSYLVANIA AVE: 22ND ST to 23RD ST (700 - 899),700 PENNSYLVANIA AVE,4167010,4167,010,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6014294.444,2103612.775,37.75692365373408,-122.39354961053631,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.75692365373408, -122.39354961053631)",10,3,8,28856,29
1587534,Brazuca Grill,Truck,10048000,OTIS ST: GOUGH ST \ MCCOPPIN ST to 13TH ST \ DUBOCE AVE \ HWY 101 NORTHBOUND RAMP \ MISSION ST (100 - 199),150 OTIS ST,3513008,3513,008,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6006498.051,2108782.928,37.770683395042624,-122.42087956139908,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.770683395042624, -122.42087956139908)",8,2,9,28853,19
1587550,Brazuca Grill,Truck,195201,03RD ST: 26TH ST to CESAR CHAVEZ ST (3000 - 3098) -- WEST --,3000 03RD ST,4315008,4315,008,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015877.515,2101228.261,37.750464115522504,-122.38790832590168,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.750464115522504, -122.38790832590168)",10,3,8,28856,1
1576229,Natan's Catering,Truck,5337000,EVANS AVE: RANKIN ST to SELBY ST (1800 - 1890),1801 EVANS AVE,5232005,5232,005,21MFF-00118,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6014340.249,2099120.438,37.74459119509166,-122.39307688085802,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,,,12/16/2021 12:00:00 AM,20211202,1,11/15/2022 12:00:00 AM,"(37.74459119509166, -122.39307688085802)",10,3,8,58,1
1587543,Brazuca Grill,Truck,12483000,TENNESSEE ST: 18TH ST to 19TH ST (700 - 799),790 TENNESSEE ST,4043011B,4043,011B,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015376.265,2105385.926,37.761852397504114,-122.38993209325044,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.761852397504114, -122.38993209325044)",10,3,8,28856,29
1587579,Eva's Catering,Truck,3081000,BRANNAN ST: 05TH ST to 06TH ST \ I-280 NORTHBOUND \ I-280 SOUTHBOUND (600 - 699),630 BRANNAN ST,3778004,3778,004,21MFF-00155,APPROVED,Cold Truck: Burrito: Corn Dog: Salads: Sandwiches: Quesadilla: Tacos: Fried Rice: Cow Mein: Chinese Rice: Noodle Plates: Soup: Bacon: Eggs: Ham: Avacado: Sausages: Beverages,6012488.815,2110632.864,37.77609875315735,-122.40028723986815,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00155&ExportPDF=1&Filename=21MFF-00155_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.77609875315735, -122.40028723986815)",14,2,9,28856,34
1587545,Brazuca Grill,Truck,12544000,TEXAS ST: SIERRA ST to 22ND ST (632 - 699),640 TEXAS ST,4101065,4101,065,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6013745.02319,2103985.69098,37.757917056690076,-122.39547585248978,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.757917056690076, -122.39547585248978)",10,3,8,28856,29
1587523,"Chairman SF, LLC",Truck,5169000,ELLIS ST: 04TH ST \ MARKET ST \ STOCKTON ST to POWELL ST (1 - 99),34 ELLIS ST,0307008,0307,008,21MFF-00153,APPROVED,Baos: bowls & drinks,6009885.084,2114861.905,37.78756516537884,-122.40959283347962,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00153&ExportPDF=1&Filename=21MFF-00153_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,0,11/15/2022 12:00:00 AM,"(37.78756516537884, -122.40959283347962)",5,1,10,28852,36
1587561,Brazuca Grill,Truck,5204000,ELM ST: FRANKLIN ST to GOUGH ST (300 - 399),368 ELM ST,0761033,0761,033,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6005923.75714,2112690.41751,37.7813800275549,-122.42314384550635,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.7813800275549, -122.42314384550635)",7,9,11,28852,41
1587575,Eva's Catering,Truck,10006000,ORTEGA ST: 18TH AVE to 19TH AVE (1100 - 1199),1900 19TH AVE,2116028,2116,028,21MFF-00155,APPROVED,Cold Truck: Burrito: Corn Dog: Salads: Sandwiches: Quesadilla: Tacos: Fried Rice: Cow Mein: Chinese Rice: Noodle Plates: Soup: Bacon: Eggs: Ham: Avacado: Sausages: Beverages,5990463.819,2102357.539,37.75212416311866,-122.47587232222202,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00155&ExportPDF=1&Filename=21MFF-00155_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.75212416311866, -122.47587232222202)",1,8,4,29491,12
1587541,Brazuca Grill,Truck,1232000,23RD ST: START: 100-699 BLOCK to ILLINOIS ST (100 - 699),601 23RD ST,4232010,4232,010,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6016887.317,2102871.037,37.755030726766726,-122.38453073422282,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.755030726766726, -122.38453073422282)",10,3,8,28856,29
1587566,Brazuca Grill,Truck,7200000,INDIANA ST: 26TH ST to CESAR CHAVEZ ST (1500 - 1599),1575 INDIANA ST,4317017,4317,017,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015267.752,2101380.964,37.75084960681246,-122.3900276155014,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.75084960681246, -122.3900276155014)",10,3,8,28856,1
1587581,Eva's Catering,Truck,7236000,INGALLS ST: CARROLL AVE to DONNER AVE (2600 - 2699),2600 INGALLS ST,4882001,4882,001,21MFF-00156,APPROVED,Corndogs: fried burrito: rice placet: soda: water: sandwiches: soup: noodle plates,6015050.344,2091107.684,37.722629217598346,-122.39006184632663,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00156&ExportPDF=1&Filename=21MFF-00156_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,0,11/15/2022 12:00:00 AM,"(37.722629217598346, -122.39006184632663)",10,3,8,58,1
1587552,Brazuca Grill,Truck,197101,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,3305 03RD ST,4502A002,4502A,002,21MFF-00154,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6018751.714,2098754.754,37.74383117213268,-122.37779736896212,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00154&ExportPDF=1&Filename=21MFF-00154_schedule.pdf,,,12/30/2021 12:00:00 AM,20211230,1,11/15/2022 12:00:00 AM,"(37.74383117213268, -122.37779736896212)",10,3,8,58,1
